id,questionId,optionLetter,optionText,isCorrect
10001,1001,A,Ribosome,1
10002,1001,B,Mitochondria,0
10003,1001,C,Nucleus,0
10004,1001,D,Golgi apparatus,0
10005,1002,A,Respiration,0
10006,1002,B,Photosynthesis,1
10007,1002,C,Protein synthesis,0
10008,1002,D,Cell division,0
10009,1003,A,Vein,0
10010,1003,B,Artery,1
10011,1003,C,Capillary,0
10012,1003,D,Venule,0
10013,1004,A,Chromosome,0
10014,1004,B,Gene,1
10015,1004,C,DNA,0
10016,1004,D,Allele,0
10017,1005,A,Pepsin,0
10018,1005,B,Amylase,1
10019,1005,C,Lipase,0
10020,1005,D,Trypsin,0
10021,1006,A,Energy production,0
10022,1006,B,Protein synthesis,0
10023,1006,C,Selective permeability,1
10024,1006,D,DNA storage,0
10025,1007,A,Cerebrum,0
10026,1007,B,Cerebellum,1
10027,1007,C,Medulla,0
10028,1007,D,Hypothalamus,0
10029,1008,A,Transpiration,1
10030,1008,B,Respiration,0
10031,1008,C,Photosynthesis,0
10032,1008,D,Osmosis,0
10033,1009,A,Adrenaline,0
10034,1009,B,Insulin,1
10035,1009,C,Thyroxine,0
10036,1009,D,Growth hormone,0
10037,1010,A,Mitosis,0
10038,1010,B,Meiosis,1
10039,1010,C,Binary fission,0
10040,1010,D,Budding,0
10041,1011,A,Phloem,0
10042,1011,B,Xylem,1
10043,1011,C,Cambium,0
10044,1011,D,Epidermis,0
10045,1012,A,Oxygen transport,0
10046,1012,B,Blood clotting,0
10047,1012,C,Immune defense,1
10048,1012,D,Nutrient transport,0
10049,1013,A,Carbon dioxide,0
10050,1013,B,Oxygen,1
10051,1013,C,Nitrogen,0
10052,1013,D,Hydrogen,0
10053,1014,A,Digestion,0
10054,1014,B,Circulation,0
10055,1014,C,Excretion,1
10056,1014,D,Respiration,0
10057,1015,A,Skeletal,0
10058,1015,B,Smooth,0
10059,1015,C,Cardiac,1
10060,1015,D,Voluntary,0
10061,1016,A,Protein,0
10062,1016,B,Cellulose,1
10063,1016,C,Lipid,0
10064,1016,D,Starch,0
10065,1017,A,Photosynthesis,0
10066,1017,B,Cellular respiration,1
10067,1017,C,Fermentation,0
10068,1017,D,Glycolysis,0
10069,1018,A,Immune defense,0
10070,1018,B,Blood clotting,0
10071,1018,C,Oxygen transport,1
10072,1018,D,Nutrient storage,0
10073,1019,A,Nuclear membrane,0
10074,1019,B,Nucleolus,0
10075,1019,C,Chromatin,0
10076,1019,D,Nuclear pore,1
10077,1020,A,Oxygen transport,0
10078,1020,B,Detoxification,1
10079,1020,C,Hormone production,0
10080,1020,D,Blood circulation,0
10081,1021,A,Vitamin A,0
10082,1021,B,Vitamin C,0
10083,1021,C,Vitamin D,1
10084,1021,D,Vitamin K,0
10085,1022,A,Oxygen transport,0
10086,1022,B,Immune defense,0
10087,1022,C,Blood clotting,1
10088,1022,D,Nutrient transport,0
10089,1023,A,Nucleus,0
10090,1023,B,Mitochondria,1
10091,1023,C,Ribosome,0
10092,1023,D,Endoplasmic reticulum,0
10093,1024,A,Pinocytosis,0
10094,1024,B,Phagocytosis,1
10095,1024,C,Exocytosis,0
10096,1024,D,Endocytosis,0
10097,1025,A,Pistil,0
10098,1025,B,Stamen,1
10099,1025,C,Sepal,0
10100,1025,D,Petal,0
10101,1026,A,Water absorption,0
10102,1026,B,Nutrient absorption,1
10103,1026,C,Waste storage,0
10104,1026,D,Enzyme production,0
10105,1027,A,Sexual,0
10106,1027,B,Asexual,1
10107,1027,C,Binary,0
10108,1027,D,Conjugation,0
10109,1028,A,Photosynthesis,0
10110,1028,B,Gas exchange,1
10111,1028,C,Water storage,0
10112,1028,D,Nutrient transport,0
10113,1029,A,Gibberellin,0
10114,1029,B,Cytokinin,0
10115,1029,C,Auxin,1
10116,1029,D,Abscisic acid,0
10117,1030,A,Neuron,1
10118,1030,B,Synapse,0
10119,1030,C,Dendrite,0
10120,1030,D,Axon,0
10121,1031,A,Respiration,0
10122,1031,B,Photosynthesis,1
10123,1031,C,Transpiration,0
10124,1031,D,Digestion,0
10125,1032,A,Energy production,0
10126,1032,B,Structural support,1
10127,1032,C,Protein synthesis,0
10128,1032,D,Waste removal,0
10129,1033,A,Red blood cells,0
10130,1033,B,White blood cells,1
10131,1033,C,Platelets,0
10132,1033,D,Plasma,0
10133,1034,A,Nutrient transport,0
10134,1034,B,Gas exchange,1
10135,1034,C,Waste removal,0
10136,1034,D,Temperature regulation,0
10137,1035,A,Cornea,0
10138,1035,B,Lens,1
10139,1035,C,Retina,0
10140,1035,D,Pupil,0
10141,1036,A,Energy source,0
10142,1036,B,Catalyst,1
10143,1036,C,Product,0
10144,1036,D,Inhibitor,0
10145,1037,A,Digestion,0
10146,1037,B,Circulation,0
10147,1037,C,Excretion,1
10148,1037,D,Respiration,0
10149,1038,A,Acid production,0
10150,1038,B,Enzyme production,1
10151,1038,C,Bile production,0
10152,1038,D,Vitamin absorption,0
10153,1039,A,Plant cell,0
10154,1039,B,Animal cell,0
10155,1039,C,Prokaryotic cell,1
10156,1039,D,Eukaryotic cell,0
10157,1040,A,Energy storage,0
10158,1040,B,Genetic information storage,1
10159,1040,C,Protein synthesis,0
10160,1040,D,Cell division,0
10161,1041,A,Pancreas,0
10162,1041,B,Liver,1
10163,1041,C,Gallbladder,0
10164,1041,D,Stomach,0
10165,1042,A,Nutrient absorption,0
10166,1042,B,Water absorption,1
10167,1042,C,Enzyme production,0
10168,1042,D,Protein digestion,0
10169,1043,A,Ligament,0
10170,1043,B,Tendon,1
10171,1043,C,Cartilage,0
10172,1043,D,Joint,0
10173,1044,A,Protein,0
10174,1044,B,DNA,1
10175,1044,C,RNA,0
10176,1044,D,Lipid,0
10177,1045,A,Photosynthesis,0
10178,1045,B,Cellular respiration,1
10179,1045,C,Protein synthesis,0
10180,1045,D,DNA replication,0
10181,1046,A,Photosynthesis,0
10182,1046,B,Water transport,0
10183,1046,C,Stomatal control,1
10184,1046,D,Nutrient storage,0
10185,1047,A,Insulin,0
10186,1047,B,Estrogen,1
10187,1047,C,Adrenaline,0
10188,1047,D,Growth hormone,0
10189,1048,A,Hormone production,0
10190,1048,B,Nerve signal transmission,1
10191,1048,C,Blood circulation,0
10192,1048,D,Digestion,0
10193,1049,A,Xylem,0
10194,1049,B,Phloem,1
10195,1049,C,Cambium,0
10196,1049,D,Epidermis,0
10197,1050,A,Oxygen transport,0
10198,1050,B,Immune defense,1
10199,1050,C,Blood clotting,0
10200,1050,D,Nutrient absorption,0